Text Description,HTML Code
"Create a heading with ""Hello World""",<h1>Hello World</h1>'
Insert an image of a cat,"<img src=""cat.jpg"" alt=""Cat Image"">'"
Add a link to Google,"<a href=""https://www.google.com"">Google</a>'"
Create an unordered list,<ul><li>Item 1</li><li>Item 2</li></ul>'
Format this text as bold,<strong>This text is bold</strong>'
This is a red header,"<h1 style=""color: red;"">This is a red header</h1>'"
This is a blue header,"<h1 style=""color: blue;"">This is a blue header</h1>'"
This is a green header,"<h1 style=""color: green;"">This is a green header</h1>'"
This is a yellow header,"<h1 style=""color: yellow;"">This is a yellow header</h1>'"
This is a black header,"<h1 style=""color: black;"">This is a black header</h1>'"
This is a white header,"<h1 style=""color: white;"">This is a white header</h1>'"
header,"<!DOCTYPE html>
<html>
<head>
    <title>Beautiful Header</title>
    <style>
        /* Styles for the header */
        header {
            background-color: #3498db;
            color: white;
            padding: 20px;
            text-align: center;
        }

        /* Style the header title */
        h1 {
            font-size: 36px;
        }

        /* Style the header subtitle */
        p {
            font-size: 18px;
        }
    </style>
</head>
<body>
    <header>
        <h1>Welcome to Our Website</h1>
        <p>Your source for beautiful headers</p>
    </header>
    
    <!-- Rest of your web page content goes here -->

</body>
</html>
"
Navigation Menu,"<!DOCTYPE html>
<html>
<head>
    <title>Navigation Menu Example</title>
    <link rel=""stylesheet"" type=""text/css"" href=""styles.css"">
</head>
<body>
    <nav>
        <div class=""container"">
            <ul>
                <li><a href=""#"">Home</a></li>
                <li><a href=""#"">About</a></li>
                <li><a href=""#"">Services</a></li>
                <li><a href=""#"">Contact</a></li>
            </ul>
        </div>
    </nav>
</body>
</html>
"
Search Bar,"<!DOCTYPE html>
<html>
<head>
    <title>Search Bar Example</title>
    <link rel=""stylesheet"" type=""text/css"" href=""styles.css"">
</head>
<body>
    <section class=""search-bar"">
        <div class=""container"">
            <h2>Search Bar</h2>
            <input type=""text"" id=""search-bar"" placeholder=""Search..."">
        </div>
    </section>
</body>
</html>
"
Login/Registration Form,"<!DOCTYPE html>
<!DOCTYPE html>
<html>
<head>
    <title>Login/Registration Form Example</title>
    <link rel=""stylesheet"" type=""text/css"" href=""styles.css"">
</head>
<body>
    <section class=""login-form"">
        <div class=""container"">
            <h2>Login/Registration Form</h2>
            <form id=""login-form"">
                <label for=""username"">Username:</label>
                <input type=""text"" id=""username"" name=""username"" required><br><br>
                <label for=""password"">Password:</label>
                <input type=""password"" id=""password"" name=""password"" required><br><br>
                <input type=""submit"" value=""Login"">
            </form>
        </div>
    </section>
</body>
</html>>
</body>
</html>

"
Footer,"<!DOCTYPE html>
<html>
<head>
    <title>Footer Example</title>
    <link rel=""stylesheet"" type=""text/css"" href=""styles.css"">
</head>
<body>
    <footer>
        <div class=""container"">
            <p>&copy; 2023 My Website. All rights reserved.</p>
        </div>
    </footer>
</body>
</html>
"
